Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
"caldera-alba-acrylic-cold-plunge-1","Caldera Alba Acrylic Cold Plunge","<p>A freestanding acrylic cold plunge with a white basin and charcoal cabinet. The listing photo is this unit: overhead of the interior plus the insulated exterior with the integrated vent.</p><ul><li>Insulated acrylic basin with integrated filtration housing</li><li>Type: Acrylic cold plunge</li><li>Power: 110V / 15A dedicated</li><li>Dimensions: 67 × 31 × 28 in</li><li>Weight: 210 lb</li></ul>","Caldera","Cold & Heat","plunge, ice bath, cold, acrylic","TRUE","Title","Default Title","CA-0001","95254","shopify","5","deny","manual","4890.00","5183.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/caldera/main/public/media/catalog/plunge.webp","Caldera Alba Acrylic Cold Plunge","active"
"caldera-field-inflatable-ice-bath-2","Caldera Field Inflatable Ice Bath","<p>A portable cylindrical ice bath with a rigid rim and drain valve. The listing photo is this black recovery tub on a white background — not a lifestyle collage.</p><ul><li>Collapsible cylinder with drain valve for travel and small rooms</li><li>Type: Portable ice bath</li><li>Power: None — ice or pair with a chiller</li><li>Dimensions: 32 × 32 × 30 in inflated</li><li>Weight: 18 lb</li></ul>","Caldera","Cold & Heat","inflatable, portable, ice bath","TRUE","Title","Default Title","CA-0002","8165","shopify","5","deny","manual","289.00","306.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/caldera/main/public/media/catalog/inflatable.webp","Caldera Field Inflatable Ice Bath","active"
"caldera-1hp-plunge-chiller-3","Caldera 1HP Plunge Chiller","<p>A wheeled 1HP water chiller with inlet/outlet hoses and a digital temperature panel. The listing photo is this black unit on a deck — the machine that cools the bath, not a stock lifestyle scene.</p><ul><li>1HP cooling with circulation pump and caster base</li><li>Type: Water chiller</li><li>Power: 110V / 12A</li><li>Dimensions: 22 × 16 × 20 in</li><li>Weight: 92 lb</li></ul>","Caldera","Cold & Heat","chiller, plunge, cooling","TRUE","Title","Default Title","CA-0003","41730","shopify","5","deny","manual","1890.00","2003.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/caldera/main/public/media/catalog/chiller.webp","Caldera 1HP Plunge Chiller","active"
"caldera-cedar-two-person-infrared-sauna-4","Caldera Cedar Two-Person Infrared Sauna","<p>A two-person indoor far-infrared cabin in horizontal cedar with a full-height glass door and exterior control panel. The listing photo is this cabin.</p><ul><li>Two-person cedar cabin with carbon heaters and glass door</li><li>Type: Infrared sauna cabin</li><li>Power: 220V / 1920W</li><li>Dimensions: 47 × 47 × 75 in</li><li>Weight: 286 lb</li></ul>","Caldera","Saunas","sauna, infrared, cedar, cabin","TRUE","Title","Default Title","CA-0004","129727","shopify","5","deny","manual","3290.00","3487.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/caldera/main/public/media/catalog/sauna.webp","Caldera Cedar Two-Person Infrared Sauna","active"
"caldera-ember-infrared-sauna-blanket-5","Caldera Ember Infrared Sauna Blanket","<p>A zippered far-infrared sauna blanket with a wired digital controller. The listing photo is this black wrap on a white background.</p><ul><li>Portable infrared wrap with timer and temperature control</li><li>Type: Sauna blanket</li><li>Power: 110V / 600W</li><li>Dimensions: 71 × 71 in open</li><li>Weight: 12 lb</li></ul>","Caldera","Saunas","sauna blanket, infrared, portable","TRUE","Title","Default Title","CA-0005","5443","shopify","5","deny","manual","249.00","264.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/caldera/main/public/media/catalog/blanket.webp","Caldera Ember Infrared Sauna Blanket","active"
"caldera-zero-g-4d-massage-chair-6","Caldera Zero-G 4D Massage Chair","<p>A full-body zero-gravity massage chair with SL-track, side tablet, and champagne-metal shell. The listing photo is this chair on a white background.</p><ul><li>4D rollers, airbags, and a docked control tablet</li><li>Type: 4D massage chair</li><li>Power: 110V / 90W</li><li>Dimensions: 56 × 30 × 48 in upright</li><li>Weight: 231 lb</li></ul>","Caldera","Massage & Recovery","massage chair, zero gravity, 4d","TRUE","Title","Default Title","CA-0006","104780","shopify","5","deny","manual","6490.00","6879.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/caldera/main/public/media/catalog/chair.webp","Caldera Zero-G 4D Massage Chair","active"
"caldera-percussion-recovery-gun-7","Caldera Percussion Recovery Gun","<p>A handheld percussion massager with a spherical head and brushless motor housing. The listing photo is this black fascia gun.</p><ul><li>Quiet-drive percussion with interchangeable heads</li><li>Type: Percussion massager</li><li>Power: Rechargeable lithium pack</li><li>Dimensions: 10 × 7 × 3 in</li><li>Weight: 2 lb</li></ul>","Caldera","Massage & Recovery","percussion, massage gun, recovery","TRUE","Title","Default Title","CA-0007","907","shopify","5","deny","manual","129.00","137.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/caldera/main/public/media/catalog/gun.webp","Caldera Percussion Recovery Gun","active"
"caldera-sequential-compression-boots-8","Caldera Sequential Compression Boots","<p>A four-to-multi chamber sequential compression system with a digital pump and zippered leg garments. The listing photo is this pump, boots, and cases.</p><ul><li>Sequential chambers with a portable pump and carry cases</li><li>Type: Compression boots</li><li>Power: 110V / 30W</li><li>Dimensions: Pump 10 × 8 × 5 in; boots to mid-thigh</li><li>Weight: 14 lb</li></ul>","Caldera","Massage & Recovery","compression, boots, recovery","TRUE","Title","Default Title","CA-0008","6350","shopify","5","deny","manual","890.00","943.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/caldera/main/public/media/catalog/boots.webp","Caldera Sequential Compression Boots","active"
"caldera-studio-portable-massage-table-9","Caldera Studio Portable Massage Table","<p>A two-section portable massage table in black upholstery with a beech frame, shown open and folded. The listing photo is this table.</p><ul><li>Folds to a latching case with handle</li><li>Type: Massage table</li><li>Power: None</li><li>Dimensions: 73 × 28 in open; 37 × 28 × 7 in folded</li><li>Weight: 34 lb</li></ul>","Caldera","Massage & Recovery","table, massage, portable","TRUE","Title","Default Title","CA-0009","15422","shopify","5","deny","manual","319.00","338.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/caldera/main/public/media/catalog/table.webp","Caldera Studio Portable Massage Table","active"
"caldera-linea-pressotherapy-console-10","Caldera Linea Pressotherapy Console","<p>A commercial pressotherapy pump with multi-chamber compression boots. The listing photo is this white console, hose manifold, and garments.</p><ul><li>Independent chamber pressure on a commercial compressor</li><li>Type: Pressotherapy console</li><li>Power: 110V / 8A</li><li>Dimensions: 32 × 22 × 48 in</li><li>Weight: 86 lb</li></ul>","Caldera","Massage & Recovery","pressotherapy, lymphatic, boots","TRUE","Title","Default Title","CA-0010","39009","shopify","5","deny","manual","4890.00","5183.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/caldera/main/public/media/catalog/presso.webp","Caldera Linea Pressotherapy Console","active"
